scene_id,split,path,dataset_tag,n_fragments,n_exterior_points,n_edges,positive_edge_fraction,ground_truth_P10_mm,ground_truth_P50_mm,ground_truth_P80_mm,cone_base_radius_m,cone_height_m,scan_filter_version,placement_backend,status
0,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_000_train.npz,dem_noboundary_relax150_100scene_hpr,138,7261,50380,0.9260619293370385,126.93877917459638,185.45038846880072,251.35187810426729,0.907065044489805,1.1636415560239612,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
1,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_001_train.npz,dem_noboundary_relax150_100scene_hpr,141,6840,47668,0.9226734916505832,121.54840895703049,191.7805669405543,257.647983637043,0.9008680147874084,1.0490924726950626,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
2,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_002_train.npz,dem_noboundary_relax150_100scene_hpr,144,6476,45145,0.9170007752796544,124.38279666224474,180.78795614843455,268.9607883916663,0.8860081625885775,1.0820003619062908,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
3,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_003_train.npz,dem_noboundary_relax150_100scene_hpr,147,7192,49932,0.918168709444845,122.75474369091822,198.4254054993006,261.7797201383812,0.9002075624287662,1.03248619052347,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
4,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_004_train.npz,dem_noboundary_relax150_100scene_hpr,141,7992,55420,0.9364489354023818,124.59738104325018,186.45125488464691,284.0594801115526,0.926399612849695,1.0731402452009535,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
5,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_005_train.npz,dem_noboundary_relax150_100scene_hpr,143,7190,49935,0.9229998998698308,124.96987125444527,200.84065743702413,284.4817918846978,0.915365752443738,1.0290562641174006,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
6,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_006_train.npz,dem_noboundary_relax150_100scene_hpr,135,6755,47142,0.9277502015188155,126.4212113367392,207.2550424340775,266.66993333468656,0.9086735839724416,1.0361697007773765,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
7,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_007_train.npz,dem_noboundary_relax150_100scene_hpr,147,6444,44969,0.9174764837999511,123.88161545266595,185.3804306320588,250.88397630503368,0.8846845483140845,1.1384102470386184,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
8,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_008_train.npz,dem_noboundary_relax150_100scene_hpr,139,6705,46437,0.9222387320455672,126.78928932117229,218.7513628855646,297.4854887713104,0.9339122079713071,1.1798892994104961,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
9,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_009_train.npz,dem_noboundary_relax150_100scene_hpr,141,7752,53904,0.9333630157316711,119.38244021687741,191.92620808253346,275.43852807695407,0.9149532292876642,1.0981440977030343,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
10,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_010_train.npz,dem_noboundary_relax150_100scene_hpr,139,7507,52042,0.9365704623188963,122.25396660830583,177.96406209199498,258.7677191177571,0.9392706716498699,1.074608328669016,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
11,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_011_train.npz,dem_noboundary_relax150_100scene_hpr,144,7209,50035,0.9339462376336565,122.57890612977964,180.17438007415802,251.29392556946055,0.9273201311107189,1.1253479565695819,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
12,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_012_train.npz,dem_noboundary_relax150_100scene_hpr,143,7109,49422,0.925053619845413,125.27970420513057,185.6595300900857,238.88975127138357,0.8852924842039265,1.0679751088142186,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
13,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_013_train.npz,dem_noboundary_relax150_100scene_hpr,141,6505,45439,0.918792226941614,123.42943548619404,184.69124666316196,246.5715095483853,0.8854983183272973,1.1351260713507798,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
14,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_014_train.npz,dem_noboundary_relax150_100scene_hpr,138,7764,53854,0.9362907119248338,120.24017387059706,185.60504043913664,250.0859305052013,0.9133917009760683,1.12128308980585,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
15,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_015_train.npz,dem_noboundary_relax150_100scene_hpr,142,7136,49606,0.9204330121356288,123.95178787037544,189.21894999211747,277.05507034220034,0.9087641564044574,1.1351954748268598,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
16,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_016_train.npz,dem_noboundary_relax150_100scene_hpr,140,6872,47807,0.9158909783086159,126.4931780622544,189.74112515580228,249.55049758624466,0.89209404659911,1.080998885933986,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
