scene_id,split,oracle_exterior_P80_mm,ground_truth_P80_mm,oracle_signed_error_pct_vs_full,oracle_abs_error_pct_vs_full,n_visible_fragments,n_exterior_points
0,train,306.93662470895737,251.35187810426729,22.114315207794903,22.114315207794903,138,7261
1,train,304.8101536679875,257.647983637043,18.304886133859036,18.304886133859036,141,6840
2,train,319.5827859763855,268.9607883916663,18.82133001149683,18.82133001149683,144,6476
3,train,296.4647246983251,261.7797201383812,13.249691206640756,13.249691206640756,147,7192
4,train,364.5711324231473,284.0594801115526,28.343237226223554,28.343237226223554,141,7992
5,train,347.47615012503474,284.4817918846978,22.143546630171993,22.143546630171993,143,7190
6,train,314.73345219703856,266.66993333468656,18.02359878420543,18.02359878420543,135,6755
7,train,292.40285230117684,250.88397630503368,16.549034580695192,16.549034580695192,147,6444
8,train,363.61635555459594,297.4854887713104,22.229947099746823,22.229947099746823,139,6705
9,train,355.9508899974,275.43852807695407,29.230609995836087,29.230609995836087,141,7752
10,train,312.3169627203244,258.7677191177571,20.69394273178205,20.69394273178205,139,7507
11,train,337.59644577593053,251.29392556946055,34.34325760596826,34.34325760596826,144,7209
12,train,259.3063533182202,238.88975127138357,8.546453725276375,8.546453725276375,143,7109
13,train,298.71897346332304,246.5715095483853,21.149022452127507,21.149022452127507,141,6505
14,train,303.16216111599823,250.0859305052013,21.22319736403286,21.22319736403286,138,7764
15,train,351.27339921703486,277.05507034220034,26.788294754239615,26.788294754239615,142,7136
16,train,324.21197048294954,249.55049758624466,29.918382699638524,29.918382699638524,140,6872
17,train,342.52712702659426,289.5358635876809,18.302141497184802,18.302141497184802,143,6711
18,train,335.8237730892468,280.38775034838824,19.771199944354926,19.771199944354926,139,7149
19,train,313.1737931510713,248.07576355276134,26.24118884731953,26.24118884731953,143,6918
20,train,319.0332523081733,252.26661547379015,26.466695447983295,26.466695447983295,147,6703
21,train,356.6521513992377,281.45549021724395,26.71707029909153,26.71707029909153,142,6658
22,train,305.2027182047366,250.83946021310626,21.67253028907206,21.67253028907206,146,6390
23,train,301.70516833625567,256.81596593468004,17.479132279880524,17.479132279880524,142,6939
24,train,292.18989084344724,276.7312473236399,5.586157569596155,5.586157569596155,144,6207
25,train,310.91831504611724,264.8498707481741,17.39417284509312,17.39417284509312,142,6955
26,train,261.6727288523869,246.18919811041312,6.289281114206158,6.289281114206158,143,6726
27,train,324.8996613246211,259.18442067762487,25.35462605166891,25.35462605166891,141,7304
28,train,320.334436637794,265.0460445165999,20.859919725280545,20.859919725280545,142,6380
29,train,334.4156733866742,285.2642824185125,17.230124483671418,17.230124483671418,147,7380
30,train,325.6162023120849,245.09711092026262,32.85191371269062,32.85191371269062,141,7325
31,train,367.83005741984067,284.2455010582258,29.4057622901455,29.4057622901455,141,6514
32,train,327.6865646848481,266.41286110409686,22.99952912438768,22.99952912438768,143,6924
33,train,359.12335576233744,281.3213980777889,27.65589756632566,27.65589756632566,141,7239
